NOM_BORNE_RECHARGE,NOM_PARC,ADRESSE,VILLE,PROVINCE,NIVEAU_RECHARGE,MODE_TARIFICATION,TYPE_EMPLACEMENT,LONGITUDE,LATITUDE
"CEA-10827","8020 | BSR | SO | 3041 Notre-Dame","3041 Notre-Dame  Montréal QC H4C 2J2","Montréal","QC","Niveau 2","par heure","sur rue",-73.578967,45.480909
"CEA-11025","8021 | BSR | SO | 6000 Laurendeau","6000 rue Laurendeau Montréal QC H4E 3X4","Montréal","QC","Niveau 2","par heure","sur rue",-73.588272,45.458135
"CEA-11004","8021 | BSR | SO | 6000 Laurendeau","6000 rue Laurendeau Montréal QC H4E 3X4","Montréal","QC","Niveau 2","par heure","sur rue",-73.588272,45.458135
"CEA-10847","8022 | BSR | SO | 555 Des Seigneurs","555 Des Seigneurs Montréal QC H3J 2S5","Montréal","QC","Niveau 2","par heure","sur rue",-73.570942,45.488805
"CEA-10541","8022 | BSR | SO | 555 Des Seigneurs","555 Des Seigneurs Montréal QC H3J 2S5","Montréal","QC","Niveau 2","par heure","sur rue",-73.570942,45.488805
"CEA-11343","8023 | BSR | SO | 3541 Allard","3541 Allard Montréal QC H4E 2N6","Montréal","QC","Niveau 2","par heure","sur rue",-73.604974,45.449274
"CEA-11339","8023 | BSR | SO | 3541 Allard","3541 Allard Montréal QC H4E 2N6","Montréal","QC","Niveau 2","par heure","sur rue",-73.604974,45.449274
"CEA-10078","8023 | BSR | SO | 3541 Allard","3541 Allard Montréal QC H4E 2N6","Montréal","QC","Niveau 2","par heure",,-73.604974,45.449274
"CEA-10192","8023 | BSR | SO | 3541 Allard","3541 Allard Montréal QC H4E 2N6","Montréal","QC","Niveau 2","par heure",,-73.604974,45.449274
"CEA-11215","8024 | BSR | SO | 1360 Olier","1360 Rue Olier Montréal QC H3C 0P9","Montréal","QC","Niveau 2","par heure","sur rue",-73.559422,45.490332
"CEA-11238","8024 | BSR | SO | 1360 Olier","1360 Rue Olier Montréal QC H3C 0P9","Montréal","QC","Niveau 2","par heure","sur rue",-73.559422,45.490332
"CEA-11244","8024 | BSR | SO | 1360 Olier","1360 Rue Olier Montréal QC H3C 0P9","Montréal","QC","Niveau 2","par heure",,-73.559422,45.490332
"CEA-11268","8024 | BSR | SO | 1360 Olier","1360 Rue Olier Montréal QC H3C 0P9","Montréal","QC","Niveau 2","par heure",,-73.559422,45.490332
"CEA-11468","8025 | BSR | SO | 2157 Centre","2157 Rue Centre Montréal QC H3K 1J4","Montréal","QC","Niveau 2","par heure",,-73.565918,45.480799
"CEA-11471","8025 | BSR | SO | 2157 Centre","2157 Rue Centre Montréal QC H3K 1J4","Montréal","QC","Niveau 2","par heure","sur rue",-73.565918,45.480799
"CEA-11239","8026 | BSR | SO | 2855 Centre","2855 rue du Centre Montréal QC H4C 3B4","Montréal","QC","Niveau 2","par heure","sur rue",-73.572438,45.476492
